,FlightNumber,Date,RocketName,PayloadMassKG,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
0,1,24/03/2006,Falcon 1,20,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin1A,167.7431292,9.0477206
1,2,21/03/2007,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2A,167.7431292,9.0477206
2,3,03/08/2008,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin1C,167.7431292,9.0477206
3,4,28/09/2008,Falcon 1,,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin2C,167.7431292,9.0477206
4,5,13/07/2009,Falcon 1,165,LEO,Kwajalein Atoll,None None,1,FALSE,FALSE,FALSE,,,0,Merlin3C,167.7431292,9.0477206
5,6,04/06/2010,Falcon 9,200,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0003,-80.577366,28.5618571
6,7,08/12/2010,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0004,-80.577366,28.5618571
7,8,22/05/2012,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0005,-80.577366,28.5618571
8,9,08/10/2012,Falcon 9,,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0006,-80.577366,28.5618571
9,10,01/03/2013,Falcon 9,525,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B0007,-80.577366,28.5618571
10,11,29/09/2013,Falcon 9,400,ISS,VAFB SLC 4E,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1003,-120.610829,34.632093
11,12,03/12/2013,Falcon 9,400,LEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1004,-80.577366,28.5618571
12,13,06/01/2014,Falcon 9,677,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1005,-80.577366,28.5618571
13,14,18/04/2014,Falcon 9,500,PO,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1006,-80.577366,28.5618571
14,15,14/07/2014,Falcon 9,3170,GTO,CCSFS SLC 40,True Ocean,1,FALSE,FALSE,TRUE,,1,0,B1007,-80.577366,28.5618571
15,16,05/08/2014,Falcon 9,3325,GTO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1008,-80.577366,28.5618571
16,17,07/09/2014,Falcon 9,2296,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1011,-80.577366,28.5618571
17,18,21/09/2014,Falcon 9,1316,LEO,CCSFS SLC 40,False Ocean,1,FALSE,FALSE,FALSE,,1,0,B1010,-80.577366,28.5618571
18,19,10/01/2015,Falcon 9,4535,GTO,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571
19,20,11/02/2015,Falcon 9,4428,GTO,CCSFS SLC 40,True Ocean,1,TRUE,FALSE,TRUE,,1,0,B1013,-80.577366,28.5618571
20,21,02/03/2015,Falcon 9,2216,ISS,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1014,-80.577366,28.5618571
21,22,14/04/2015,Falcon 9,2395,ISS,CCSFS SLC 40,False ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571
22,23,27/04/2015,Falcon 9,570,ES-L1,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,1,0,B1016,-80.577366,28.5618571
23,24,28/06/2015,Falcon 9,1954,GTO,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571
